Cohort,1,2,3,4,5,6,7,8,9,10,11,12,13
2009-12,1.0,0.375,0.343,0.428,0.392,0.39,0.39,0.358,0.34,0.375,0.433,0.496,0.249
2010-01,1.0,0.218,0.302,0.305,0.279,0.292,0.266,0.231,0.289,0.34,0.31,0.094,
2010-02,1.0,0.3,0.226,0.303,0.256,0.209,0.218,0.284,0.275,0.292,0.088,,
2010-03,1.0,0.218,0.259,0.236,0.229,0.2,0.241,0.298,0.289,0.083,,,
2010-04,1.0,0.23,0.199,0.162,0.186,0.23,0.271,0.261,0.076,,,,
2010-05,1.0,0.193,0.177,0.193,0.189,0.26,0.22,0.087,,,,,
2010-06,1.0,0.216,0.197,0.204,0.23,0.283,0.074,,,,,,
2010-07,1.0,0.208,0.202,0.284,0.301,0.115,,,,,,,
2010-08,1.0,0.247,0.316,0.323,0.127,,,,,,,,
2010-09,1.0,0.302,0.26,0.116,,,,,,,,,
2010-10,1.0,0.296,0.103,,,,,,,,,,
2010-11,1.0,0.118,,,,,,,,,,,
2010-12,1.0,,,,,,,,,,,,
